ID,species,treat,prep,PMG.mg,D.mg,c.mg,G.mg,S.mg,U.mg,AA.mg,SHAM.mg,Rot.mg
1,Folsomia candida,control,imt,46.59343449,1525.076378,1858.053616,2139.623145,2951.348892,3102.737435,476.4713071,-7.139244377,0
2,Folsomia candida,control,imt,16.7026704,1144.579951,1439.564885,1647.52654,2356.67715,2517.959095,461.3382747,-0.05298482,0
3,Folsomia candida,control,imt,28.12734652,563.2750736,683.8083641,754.5696876,1099.831355,1142.251578,213.9890242,6.87376873,0
4,Folsomia candida,control,imt,9.645475466,618.9346025,739.552994,819.5452239,1168.896272,1235.200684,219.6269533,-0.298169391,0
5,Pseudosinella violenta,control,thom,102.3098877,211.6994648,319.8427083,360.2195283,611.7498748,638.6459085,-1.652601346,5.968607202,0
6,Pseudosinella violenta,control,thom,101.2013881,415.3249137,512.6190878,616.6699241,899.6154351,980.2507167,-3.539370286,-1.666616372,0
8,Pseudosinella violenta,control,thom,100.1470882,341.6606,469.9685846,538.9108219,843.8595967,873.2686712,-5.711310831,13.21380825,0
9,Pseudosinella violenta,AA,thom,-37.66645655,-39.15809644,-29.68706885,-38.66359232,-35.05274439,-27.00064798,-30.13719428,-12.15218226,0
10,Proisotoma minuta,control,thom,54.59812746,552.5631058,672.0039018,715.8925784,1045.765617,1065.473582,134.8356003,-4.725519591,0
11,Proisotoma minuta,control,thom,84.92898132,659.7676054,769.539757,831.7483004,1232.380676,1247.563514,164.8947618,3.153323108,0
12,Proisotoma minuta,AA,thom,39.55054553,55.57579743,66.9812028,48.94532597,81.72198213,110.4609277,96.93936304,-0.619188296,0
13,Proisotoma minuta,AA,thom,56.30208973,66.33283074,68.27574289,63.36649434,97.21130759,131.1609094,116.0969906,-6.066788225,0
14,Folsomia candida,control,thom,64.02622006,649.2338186,772.4303014,828.6062133,1118.705183,1130.183586,168.8324689,2.071383943,0
15,Folsomia candida,AA,thom,98.04180608,110.5452179,132.5692731,144.4681756,231.2606655,234.7706257,184.3809235,-0.397004716,0
16,Proisotoma minuta,control,thom,38.35728425,163.5135235,212.806944,244.9437943,394.8692409,416.5227398,106.9912746,0.103158359,0
17,Proisotoma minuta,AA,thom,32.60381663,61.56062173,76.30352252,72.86829989,112.9775867,124.6358754,97.06489753,-1.972146766,0
18,Folsomia candida,AA,thom,13.39351871,19.47065446,26.32945386,29.50959395,45.53240877,37.13803534,30.220508,-0.515253395,0
19,Pseudosinella violenta,AA,thom,-10.47635023,-7.971257604,6.312622614,5.221461499,4.11296553,4.313290172,8.11880026,5.436867777,0
20,Pseudosinella violenta,AA,thom,-13.19132008,-17.76793034,-15.39032279,-16.3230842,-11.40529212,-12.27108111,-14.47567539,-0.391744437,0
21,Folsomia candida,AA,thom,7.844339698,12.77090216,14.80335596,19.69971181,31.88047661,31.20998949,27.58565444,-1.135300544,0
22,Proisotoma minuta,control,thom,39.2906825,303.3733717,360.7830428,440.694761,660.4662774,686.158792,101.4220331,8.870724538,0
23,Proisotoma minuta,SHAM,thom,92.89923267,255.726296,304.2235105,372.9072079,582.7482414,590.3592714,1.837793478,-4.908061011,0
